keyword,recent_freq,older_freq,growth_rate,is_emerging
prompts,0.01892453265635818,0.0001764602082230457,10624.53265635818,True
federated,0.01707823678744519,0.0001764602082230457,9578.236787445188,True
explainable,0.010846988229863836,0.0001764602082230457,6046.988229863835,True
token,0.017770597738287562,0.0003529204164460914,4935.29886914378,True
editing,0.017770597738287562,0.0003529204164460914,4935.29886914378,True
offering,0.017309023771059313,0.0003529204164460914,4804.511885529656,True
transformer,0.04246480498499885,0.0008823010411152286,4712.960996999769,True
abilities,0.007846757442880221,0.0001764602082230457,4346.757442880222,True
advancements,0.01500115393491807,0.0003529204164460914,4150.576967459035,True
clip,0.0073851834756519736,0.0001764602082230457,4085.183475651974,True
pandemic,0.0073851834756519736,0.0001764602082230457,4085.183475651974,True
contrastive,0.021924763443341797,0.0005293806246691371,4041.587814447265,True
struggle,0.006923609508423725,0.0001764602082230457,3823.609508423725,True
emotional,0.006923609508423725,0.0001764602082230457,3823.609508423725,True
recommender,0.0066928225248096005,0.0001764602082230457,3692.8225248096005,True
transformers,0.013385645049619201,0.0003529204164460914,3692.8225248096005,True
underscore,0.005308100623124856,0.0001764602082230457,2908.1006231248557,True
race,0.005077313639510732,0.0001764602082230457,2777.3136395107313,True
homomorphic,0.005077313639510732,0.0001764602082230457,2777.3136395107313,True
learnable,0.005077313639510732,0.0001764602082230457,2777.3136395107313,True
agnostic,0.009693053311793215,0.0003529204164460914,2646.5266558966073,True
serving,0.004846526655896607,0.0001764602082230457,2646.5266558966073,True
reliance,0.004846526655896607,0.0001764602082230457,2646.5266558966073,True
multilingual,0.009231479344564966,0.0003529204164460914,2515.7396722824833,True
texttt,0.004615739672282483,0.0001764602082230457,2515.7396722824833,True
curated,0.004615739672282483,0.0001764602082230457,2515.7396722824833,True
microphone,0.004615739672282483,0.0001764602082230457,2515.7396722824833,True
chest,0.004615739672282483,0.0001764602082230457,2515.7396722824833,True
discourse,0.004615739672282483,0.0001764602082230457,2515.7396722824833,True
clinical,0.035541195476575124,0.0014116816657843657,2417.64943457189,True
rendering,0.008769905377336719,0.0003529204164460914,2384.9526886683593,True
openai,0.0043849526886683594,0.0001764602082230457,2384.9526886683593,True
education,0.01269328409877683,0.0005293806246691371,2297.761366258943,True
pinns,0.004154165705054235,0.0001764602082230457,2254.1657050542353,True
severity,0.004154165705054235,0.0001764602082230457,2254.1657050542353,True
leverages,0.019847680590814678,0.0008823010411152286,2149.5361181629355,True
embodied,0.003923378721440111,0.0001764602082230457,2123.3787214401104,True
normative,0.003923378721440111,0.0001764602082230457,2123.3787214401104,True
animation,0.003923378721440111,0.0001764602082230457,2123.3787214401104,True
cohort,0.003923378721440111,0.0001764602082230457,2123.3787214401104,True
lesion,0.003923378721440111,0.0001764602082230457,2123.3787214401104,True
sensory,0.003923378721440111,0.0001764602082230457,2123.3787214401104,True
misinformation,0.003923378721440111,0.0001764602082230457,2123.3787214401104,True
optimizer,0.003923378721440111,0.0001764602082230457,2123.3787214401104,True
https,0.04454188783752596,0.0021175224986765486,2003.4906531271633,True
chatbots,0.0036925917378259868,0.0001764602082230457,1992.5917378259865,True
lsst,0.0036925917378259868,0.0001764602082230457,1992.5917378259865,True
overlooked,0.0036925917378259868,0.0001764602082230457,1992.5917378259865,True
stroke,0.0036925917378259868,0.0001764602082230457,1992.5917378259865,True
phrase,0.0036925917378259868,0.0001764602082230457,1992.5917378259865,True
narrative,0.0036925917378259868,0.0001764602082230457,1992.5917378259865,True
harnessing,0.0036925917378259868,0.0001764602082230457,1992.5917378259865,True
transferable,0.0036925917378259868,0.0001764602082230457,1992.5917378259865,True
